Year,Canada,Australia,New-Zealand,Denmark,Italy,Holland,Spain,France,US
1900,,,,,,,,,
1901,,,,,,,,,
1902,,,,,,,,,
1903,,,,0.162,,,,,
1904,,,,,,,,,
1905,,,,,,,,,
1906,,,,,,,,,
1907,,,,,,,,,
1908,,,,0.165,,,,,
1909,,,,,,,,,
1910,,,,0.2,,,,0.205,0.178
1911,,,,,,,,0.208,0.179
1912,,,,,,,,0.208,0.18
1913,,,,,,,,0.21,0.18
1914,,,,,,0.21,,0.208,0.182
1915,,,,0.235,,0.236,,0.183,0.176
1916,,,,,,0.239,,0.207,0.193
1917,,,,0.236,,0.235,,0.201,0.177
1918,,,,0.231,,0.22,,0.18,0.16
1919,,,,0.213,,0.237,,0.195,0.164
1920,0.144,,,0.153,,0.206,,0.18,0.148
1921,0.176,0.116,0.113,0.128,,0.183,,0.173,0.156
1922,0.152,0.107,0.105,0.128,,0.168,,0.179,0.171
1923,0.144,0.118,0.109,0.139,,0.165,,0.189,0.156
1924,0.145,0.117,0.109,0.138,,0.173,,0.18,0.174
1925,0.132,0.113,0.111,0.125,,0.178,,0.182,0.202
1926,0.14,0.111,0.108,0.121,,0.18,,0.178,0.199
1927,0.147,0.117,0.106,0.13,,0.184,,0.175,0.21
1928,0.153,0.119,0.115,0.133,,0.186,,0.173,0.239
1929,0.156,0.107,0.11,0.133,,0.181,,0.162,0.224
1930,0.161,0.098,0.106,0.133,,0.172,,0.153,0.172
1931,0.166,0.093,,0.134,,0.156,,0.146,0.155
1932,0.177,0.093,,0.135,,0.144,,0.148,0.156
1933,0.18,0.103,0.109,0.139,,0.142,0.139,0.15,0.165
1934,0.175,0.104,0.104,0.144,,0.14,0.139,0.153,0.164
1935,0.17,0.105,0.104,0.142,,0.14,0.148,0.154,0.167
1936,0.175,0.113,0.107,0.144,,0.148,,0.147,0.193
1937,0.163,0.098,0.083,0.143,,0.161,,0.145,0.172
1938,0.184,0.104,0.073,0.133,,0.157,,0.143,0.158
1939,0.169,0.107,0.079,0.135,,0.158,,0.133,0.162
1940,0.147,0.103,0.074,0.138,,,0.132,0.134,0.165
1941,0.133,0.108,,0.137,,0.176,0.137,0.129,0.158
1942,0.113,0.104,,0.134,,,0.124,0.115,0.134
1943,0.107,0.105,,0.121,,,0.121,0.101,0.123
1944,0.1,0.09,,0.112,,,0.114,0.084,0.113
