Year,Country,wealth_top10,wealth_top1,income_top1,income_top10
1810,France,0.79878781686867,0.455931513056249,NA,NA
1810,UK,0.829,0.549,NA,NA
1810,US,0.58,0.25,NA,NA
1810,Sweden,0.839,0.559,NA,NA
1820,France,0.818442835829554,0.467150190087546,NA,NA
1820,UK,NA,NA,NA,NA
1820,US,NA,NA,NA,NA
1820,Sweden,NA,NA,NA,NA
1830,France,0.832211034021238,0.47500879196032,NA,NA
1830,UK,NA,NA,NA,NA
1830,US,NA,NA,NA,NA
1830,Sweden,NA,NA,NA,NA
1840,France,0.804144846931729,0.459551433617432,NA,NA
1840,UK,NA,NA,NA,NA
1840,US,NA,NA,NA,NA
1840,Sweden,NA,NA,NA,NA
1850,France,0.82439427798708,0.502701695220301,NA,NA
1850,UK,NA,NA,NA,NA
1850,US,NA,NA,NA,NA
1850,Sweden,NA,NA,NA,NA
1860,France,0.837101868012441,0.519953562384069,NA,NA
1860,UK,NA,NA,NA,NA
1860,US,NA,NA,NA,NA
1860,Sweden,NA,NA,NA,NA
1870,France,0.81811647781711,0.503558269538767,NA,NA
1870,UK,0.871,0.611,NA,NA
1870,US,0.71,0.32,NA,NA
1870,Sweden,0.87165,0.57265,NA,NA
1880,France,0.84641240257851,0.495072187792542,NA,NA
1880,UK,NA,NA,NA,NA
1880,US,NA,NA,NA,NA
1880,Sweden,NA,NA,NA,NA
1890,France,0.847449379255033,0.511421989627386,NA,NA
1890,UK,NA,NA,NA,NA
1890,US,NA,NA,NA,NA
1890,Sweden,NA,NA,NA,NA
1900,France,0.873418055032107,0.5866712575762,NA,0.46
1900,UK,NA,NA,NA,0.47
1900,US,NA,NA,NA,0.41
1900,Sweden,NA,NA,NA,0.46
1910,France,0.884961330473844,0.604994519653366,0.205,0.47
1910,UK,0.92,0.69,NA,0.47
1910,US,0.811297513690588,0.451297513690588,0.178,0.41
1910,Sweden,0.8815,0.611,NA,0.46
1920,France,0.816562788933004,0.49234387142014,0.18,0.42
1920,UK,0.89,0.61,NA,0.41
1920,US,0.797269016133692,0.437269016133692,0.148,0.45
1920,Sweden,0.8769,0.5379,NA,0.36
1930,France,0.799586263520554,0.473513601030991,0.153,0.43
1930,UK,0.85,0.55,NA,0.39
1930,US,0.734059634212632,0.374059634212632,0.172,0.45
1930,Sweden,0.8355,0.4277,NA,0.38
1940,France,0.757792254497076,0.363026030320838,0.134,0.33
1940,UK,NA,NA,NA,0.34
1940,US,0.66389486443707,0.30389486443707,0.165,0.36
1940,Sweden,0.8317,0.3769,NA,0.33
1950,France,0.727964700714564,0.334032558612811,0.09,0.34
1950,UK,0.76,0.472,NA,0.3
1950,US,0.656655352372867,0.296655352372867,0.128,0.34
1950,Sweden,0.7729,0.3281,NA,0.29
1960,France,0.699426258702717,0.318964076428364,0.097,0.36
1960,UK,0.715,0.339,NA,0.29
1960,US,0.67,0.314,0.1,0.34
1960,Sweden,0.6323,0.2341,NA,0.3
1970,France,0.62,0.22,0.083,0.33
1970,UK,0.641,0.226,NA,0.28
1970,US,0.641820011373607,0.281820011373607,0.09,0.33
1970,Sweden,0.547,0.177,NA,0.26
1980,France,0.618427634233915,0.220198834558972,0.076,0.31
1980,UK,0.626,0.227,NA,0.33
1980,US,0.672,0.301,0.1,0.37
1980,Sweden,0.534,0.165,NA,0.22
1990,France,0.609621593402686,0.217063334428035,0.082,0.32
1990,UK,0.64,0.24,NA,0.38
1990,US,0.687,0.329,0.143,0.42
1990,Sweden,0.577,0.195,NA,0.25
2000,France,0.621,0.235,0.083,0.33
2000,UK,0.685,0.27,NA,0.4
2000,US,0.6965,0.3305,0.215,0.47
2000,Sweden,0.5781,0.2048,NA,0.27
2010,France,0.624,0.244,0.088,0.33
2010,UK,0.705,0.28,NA,0.42
2010,US,0.715,0.338,0.198,0.48
2010,Sweden,0.5877,0.2071,NA,0.28
1900,Canada,NA,NA,NA,NA
1900,Australia,NA,NA,NA,NA
1900,New-Zealand,NA,NA,NA,NA
1900,Denmark,NA,NA,NA,NA
1900,Italy,NA,NA,NA,NA
1900,Holland,NA,NA,NA,NA
1900,Spain,NA,NA,NA,NA
1901,Canada,NA,NA,NA,NA
1901,Australia,NA,NA,NA,NA
1901,New-Zealand,NA,NA,NA,NA
1901,Denmark,NA,NA,NA,NA
1901,Italy,NA,NA,NA,NA
1901,Holland,NA,NA,NA,NA
1901,Spain,NA,NA,NA,NA
1901,France,NA,NA,NA,NA
1901,US,NA,NA,NA,NA
1902,Canada,NA,NA,NA,NA
1902,Australia,NA,NA,NA,NA
1902,New-Zealand,NA,NA,NA,NA
1902,Denmark,NA,NA,NA,NA
1902,Italy,NA,NA,NA,NA
1902,Holland,NA,NA,NA,NA
1902,Spain,NA,NA,NA,NA
1902,France,NA,NA,NA,NA
1902,US,NA,NA,NA,NA
1903,Canada,NA,NA,NA,NA
1903,Australia,NA,NA,NA,NA
1903,New-Zealand,NA,NA,NA,NA
1903,Denmark,NA,NA,0.162,NA
1903,Italy,NA,NA,NA,NA
1903,Holland,NA,NA,NA,NA
1903,Spain,NA,NA,NA,NA
1903,France,NA,NA,NA,NA
1903,US,NA,NA,NA,NA
1904,Canada,NA,NA,NA,NA
1904,Australia,NA,NA,NA,NA
1904,New-Zealand,NA,NA,NA,NA
1904,Denmark,NA,NA,NA,NA
1904,Italy,NA,NA,NA,NA
1904,Holland,NA,NA,NA,NA
1904,Spain,NA,NA,NA,NA
1904,France,NA,NA,NA,NA
1904,US,NA,NA,NA,NA
1905,Canada,NA,NA,NA,NA
1905,Australia,NA,NA,NA,NA
1905,New-Zealand,NA,NA,NA,NA
1905,Denmark,NA,NA,NA,NA
1905,Italy,NA,NA,NA,NA
1905,Holland,NA,NA,NA,NA
1905,Spain,NA,NA,NA,NA
1905,France,NA,NA,NA,NA
1905,US,NA,NA,NA,NA
1906,Canada,NA,NA,NA,NA
1906,Australia,NA,NA,NA,NA
1906,New-Zealand,NA,NA,NA,NA
1906,Denmark,NA,NA,NA,NA
1906,Italy,NA,NA,NA,NA
1906,Holland,NA,NA,NA,NA
1906,Spain,NA,NA,NA,NA
1906,France,NA,NA,NA,NA
1906,US,NA,NA,NA,NA
1907,Canada,NA,NA,NA,NA
1907,Australia,NA,NA,NA,NA
1907,New-Zealand,NA,NA,NA,NA
1907,Denmark,NA,NA,NA,NA
1907,Italy,NA,NA,NA,NA
1907,Holland,NA,NA,NA,NA
1907,Spain,NA,NA,NA,NA
1907,France,NA,NA,NA,NA
1907,US,NA,NA,NA,NA
1908,Canada,NA,NA,NA,NA
1908,Australia,NA,NA,NA,NA
1908,New-Zealand,NA,NA,NA,NA
1908,Denmark,NA,NA,0.165,NA
1908,Italy,NA,NA,NA,NA
1908,Holland,NA,NA,NA,NA
1908,Spain,NA,NA,NA,NA
1908,France,NA,NA,NA,NA
1908,US,NA,NA,NA,NA
1909,Canada,NA,NA,NA,NA
1909,Australia,NA,NA,NA,NA
1909,New-Zealand,NA,NA,NA,NA
1909,Denmark,NA,NA,NA,NA
1909,Italy,NA,NA,NA,NA
1909,Holland,NA,NA,NA,NA
1909,Spain,NA,NA,NA,NA
1909,France,NA,NA,NA,NA
