Year,U.S.,Japan,Germany,France,U.K.,Italy,Canada,Australia,Spain
1970,3.42,2.99,2.25,3.10,3.06,2.39,2.47,3.30,
1971,3.41,3.28,2.20,3.04,3.28,2.45,2.52,3.38,
1972,3.49,3.73,2.22,3.07,3.54,2.58,2.51,3.44,
1973,3.39,4.04,2.18,3.05,3.40,2.53,2.46,3.47,
1974,3.21,3.96,2.20,3.03,3.37,2.82,2.39,3.48,
1975,3.20,3.86,2.29,3.17,3.01,3.21,2.42,3.49,
1976,3.27,3.75,2.29,3.15,2.83,3.04,2.36,3.45,
1977,3.26,3.73,2.36,3.17,2.84,3.00,2.43,3.41,
1978,3.22,3.78,2.46,3.19,2.98,2.94,2.51,3.48,
1979,3.33,4.06,2.49,3.19,3.13,2.98,2.55,3.36,
1980,3.55,4.34,2.53,3.21,3.09,3.22,2.64,3.37,
1981,3.51,4.57,2.62,3.21,3.10,3.65,2.61,3.45,
1982,3.59,4.74,2.73,3.13,3.14,3.83,2.73,3.47,
1983,3.57,4.88,2.80,3.15,3.22,3.78,2.77,3.51,
1984,3.39,4.86,2.84,3.16,3.32,3.69,2.76,3.45,
1985,3.46,4.86,2.90,3.14,3.38,3.63,2.74,3.50,
1986,3.64,5.30,2.95,3.18,3.61,3.71,2.84,3.50,
1987,3.66,6.11,3.04,3.25,3.79,3.73,2.82,3.51,3.62
1988,3.62,6.56,3.03,3.25,4.02,3.69,2.76,3.55,3.85
1989,3.73,6.92,3.01,3.38,4.35,4.01,2.84,3.75,4.16
1990,3.72,6.99,2.93,3.43,4.29,4.48,2.94,3.86,4.35
1991,3.77,6.61,2.87,3.42,4.18,4.85,3.08,4.01,4.57
1992,3.79,6.27,2.90,3.37,4.11,5.34,3.26,4.10,4.53
1993,3.80,6.10,3.04,3.42,4.20,5.75,3.41,4.03,4.43
1994,3.72,6.09,3.07,3.39,4.12,5.56,3.48,4.08,4.44
1995,3.78,6.02,3.10,3.33,4.03,5.18,3.46,4.12,4.30
1996,3.89,5.86,3.21,3.36,4.10,5.14,3.63,4.01,4.33
1997,4.01,5.77,3.31,3.40,4.32,5.29,3.74,4.07,4.33
1998,4.24,5.92,3.41,3.42,4.53,5.51,3.80,4.17,4.42
1999,4.52,6.02,3.51,3.59,4.94,5.61,3.77,4.29,4.63
2000,4.50,5.96,3.56,3.76,5.15,5.63,3.65,4.42,4.79
2001,4.36,5.90,3.58,3.85,4.94,5.62,3.68,4.54,5.07
2002,4.17,5.84,3.63,3.99,4.66,5.70,3.58,4.63,5.46
2003,4.21,5.81,3.71,4.24,4.65,5.88,3.55,4.82,5.98
2004,4.47,5.71,3.72,4.57,4.81,6.00,3.60,5.00,6.66
2005,4.70,5.74,3.84,5.00,4.99,6.24,3.73,5.22,7.24
2006,4.88,5.83,3.78,5.34,5.19,6.37,3.88,5.32,7.69
2007,4.94,5.79,3.79,5.53,5.23,6.42,4.02,5.55,7.92
2008,4.36,5.87,3.90,5.53,4.91,6.61,3.83,5.44,7.86
2009,4.06,6.19,4.15,5.63,5.04,6.91,4.13,5.04,7.89
2010,4.10,6.01,4.12,5.75,5.22,6.76,4.16,5.18,7.55
