Year,U.S.,Japan,Germany,France,U.K.,Italy,Canada,Australia,Spain
1970,0.61,0.61,0.88,0.41,0.59,0.20,0.37,0.61,
1971,0.64,0.67,0.89,0.43,0.69,0.16,0.39,0.65,
1972,0.64,0.71,0.88,0.45,0.79,0.11,0.40,0.68,
1973,0.65,0.75,0.88,0.46,0.93,0.10,0.40,0.71,
1974,0.74,0.81,0.90,0.48,1.11,0.11,0.44,0.78,
1975,0.77,0.82,0.87,0.53,1.02,0.05,0.46,0.84,
1976,0.71,0.77,0.80,0.55,0.93,0.02,0.42,0.86,
1977,0.68,0.75,0.78,0.56,0.89,0.02,0.39,0.86,
1978,0.67,0.72,0.76,0.55,0.91,0.00,0.36,0.88,
1979,0.70,0.73,0.76,0.57,1.00,0.01,0.32,0.84,
1980,0.79,0.77,0.77,0.62,1.07,0.04,0.30,0.85,
1981,0.79,0.78,0.77,0.64,1.12,0.01,0.30,0.89,0.39
1982,0.78,0.76,0.74,0.61,1.05,-0.03,0.27,0.90,0.37
1983,0.71,0.72,0.71,0.60,0.97,-0.11,0.17,0.91,0.34
1984,0.61,0.67,0.68,0.58,0.93,-0.19,0.07,0.86,0.30
1985,0.55,0.63,0.66,0.54,0.91,-0.25,-0.02,0.84,0.25
1986,0.51,0.63,0.64,0.49,0.89,-0.32,-0.10,0.83,0.21
1987,0.47,0.71,0.64,0.47,0.87,-0.37,-0.15,0.81,0.20
1988,0.42,0.81,0.62,0.46,0.89,-0.40,-0.16,0.80,0.20
1989,0.40,0.93,0.61,0.44,0.87,-0.39,-0.18,0.83,0.19
1990,0.38,1.03,0.64,0.44,0.76,-0.38,-0.21,0.87,0.17
1991,0.35,1.04,0.59,0.42,0.66,-0.43,-0.28,0.87,0.14
1992,0.29,1.03,0.54,0.39,0.54,-0.51,-0.39,0.82,0.12
1993,0.23,1.02,0.50,0.34,0.41,-0.61,-0.50,0.70,0.05
1994,0.20,1.01,0.46,0.28,0.34,-0.66,-0.55,0.60,-0.01
1995,0.20,0.99,0.39,0.23,0.29,-0.63,-0.59,0.55,-0.04
1996,0.20,0.93,0.31,0.16,0.22,-0.64,-0.65,0.52,-0.10
1997,0.23,0.88,0.28,0.13,0.19,-0.68,-0.61,0.50,-0.12
1998,0.27,0.82,0.24,0.11,0.17,-0.69,-0.57,0.56,-0.11
1999,0.32,0.72,0.22,0.15,0.18,-0.67,-0.50,0.64,-0.07
2000,0.37,0.63,0.23,0.19,0.23,-0.60,-0.39,0.67,-0.02
2001,0.43,0.56,0.22,0.19,0.30,-0.58,-0.35,0.65,0.01
2002,0.46,0.47,0.17,0.18,0.32,-0.59,-0.33,0.63,0.03
2003,0.45,0.41,0.13,0.18,0.31,-0.57,-0.29,0.62,0.06
2004,0.46,0.36,0.08,0.21,0.32,-0.55,-0.22,0.63,0.09
2005,0.48,0.34,0.04,0.28,0.32,-0.56,-0.16,0.67,0.13
2006,0.51,0.36,0.02,0.37,0.32,-0.54,-0.10,0.69,0.20
2007,0.54,0.38,0.06,0.46,0.32,-0.52,-0.03,0.69,0.26
2008,0.49,0.34,0.08,0.43,0.28,-0.52,0.00,0.71,0.25
2009,0.36,0.24,0.07,0.35,0.19,-0.65,-0.02,0.71,0.14
2010,0.21,0.14,0.04,0.31,0.06,-0.68,-0.04,0.67,0.05
