fips,area_name,population,pop_change,over65,female,white,college,income
1000,Alabama,4849377,1.4,15.3,51.5,69.7,22.6,23680
2000,Alaska,736732,3.7,9.4,47.4,66.9,27.5,32651
4000,Arizona,6731484,5.3,15.9,50.3,83.7,26.9,25358
5000,Arkansas,2966369,1.7,15.7,50.9,79.7,20.1,22170
6000,California,38802500,4.2,12.9,50.3,73.2,30.7,29527
8000,Colorado,5355866,6.5,12.7,49.8,87.7,37,31109
9000,Connecticut,3596677,0.6,15.5,51.2,81.2,36.5,37892
10000,Delaware,935614,4.2,16.4,51.6,70.8,28.9,29819
11000,District Of Columbia,658893,9.5,11.3,52.6,43.6,52.4,45290
12000,Florida,19893297,5.8,19.1,51.1,77.8,26.4,26236
13000,Georgia,10097343,4.2,12.4,51.2,62.1,28,25182
15000,Hawaii,1419561,4.4,16.1,49.4,26.7,30.1,29305
16000,Idaho,1634464,4.3,14.3,49.9,93.5,25.1,22568
17000,Illinois,12880580,0.4,13.9,50.9,77.5,31.4,29666
18000,Indiana,6596855,1.7,14.3,50.7,86.1,23.2,24635
19000,Iowa,3107126,2,15.8,50.3,92.1,25.7,27027
20000,Kansas,2904021,1.8,14.3,50.2,86.8,30.3,26929
21000,Kentucky,4413457,1.7,14.8,50.8,88.3,21.5,23462
22000,Louisiana,4649676,2.6,13.6,51.1,63.4,21.8,24442
23000,Maine,1330089,0.1,18.3,51,95,27.9,26824
24000,Maryland,5976407,3.5,13.8,51.5,60.1,36.8,36354
25000,Massachusetts,6745408,3,15.1,51.5,82.6,39.4,35763
26000,Michigan,9909877,0.3,15.4,50.9,79.9,25.9,25681
27000,Minnesota,5457173,2.9,14.3,50.3,85.7,32.6,30913
28000,Mississippi,2994079,0.9,14.3,51.4,59.7,20.1,20618
29000,Missouri,6063589,1.2,15.4,50.9,83.5,26.2,25649
30000,Montana,1023579,3.5,16.7,49.8,89.4,28.7,25373
31000,Nebraska,1881503,3,14.4,50.2,89.4,28.5,26899
32000,Nevada,2839099,5.1,14.2,49.7,76.2,22.4,26589
33000,New Hampshire,1326813,0.8,15.9,50.6,94,33.7,33134
34000,New Jersey,8938175,1.7,14.7,51.2,73,35.8,36027
35000,New Mexico,2085572,1.3,15.3,50.5,82.8,25.8,23763
36000,New York,19746227,1.9,14.7,51.5,70.4,33.2,32382
37000,North Carolina,9943964,4.3,14.7,51.3,71.5,27.3,25284
38000,North Dakota,739482,9.9,14.2,48.7,89.1,27.2,29732
39000,Ohio,11594163,0.5,15.5,51.1,83,25.2,26046
40000,Oklahoma,3878051,3.4,14.5,50.5,75.1,23.5,24208
41000,Oregon,3970239,3.6,16,50.5,87.9,29.7,26809
42000,Pennsylvania,12787209,0.7,16.7,51.1,82.9,27.5,28502
44000,Rhode Island,1055173,0.2,15.7,51.5,85.1,31.3,30469
45000,South Carolina,4832482,4.5,15.8,51.4,68.3,25.1,23943
46000,South Dakota,853175,4.8,15.3,49.7,85.7,26.2,25740
47000,Tennessee,6549352,3.2,15.1,51.3,78.9,23.8,24409
48000,Texas,26956958,7.2,11.5,50.4,80,26.7,26019
49000,Utah,2942902,6.5,10,49.7,91.4,30.3,23873
50000,Vermont,626562,0.1,16.9,50.7,95,34.8,29167
51000,Virginia,8326289,4.1,13.8,50.8,70.5,35.2,33493
53000,Washington,7061530,5,14.1,50,80.7,31.9,30742
54000,West Virginia,1850326,-0.1,17.8,50.6,93.7,18.3,22966
55000,Wisconsin,5757564,1.2,15.2,50.3,87.8,26.8,27523
56000,Wyoming,584153,3.6,14,49,92.7,24.7,28902
