date,party,candidate,votes,vote_prop
2016-02-01,Democrat,Bernie Sanders,69452,0.49615659379911414
2016-02-01,Democrat,Hillary Clinton,69733,0.49816402343191885
2016-02-01,Democrat,Martin O'Malley,752,0.005372196028004
2016-02-01,Democrat,Uncommitted,43,3.071867409629947e-4
2016-02-01,Republican,Ben Carson,17393,0.0931481759173968
2016-02-01,Republican,Carly Fiorina,3485,0.018663910370386238
2016-02-01,Republican,Chris Christie,3284,0.01758745528159208
2016-02-01,Republican,Donald Trump,45419,0.24324136158179988
2016-02-01,Republican,Jeb Bush,5238,0.028052098284098454
2016-02-01,Republican,John Kasich,3472,0.018594288896981642
2016-02-01,Republican,Marco Rubio,43164,0.23116471369507938
2016-02-01,Republican,Mike Huckabee,3345,0.01791414065679827
2016-02-01,Republican,Rand Paul,8479,0.04540926715365995
2016-02-01,Republican,Rick Santorum,1782,0.009543497354384011
2016-02-01,Republican,Ted Cruz,51663,0.2766810908078233
2016-02-09,Democrat,Bernie Sanders,151584,0.614108152781604
2016-02-09,Democrat,Hillary Clinton,95252,0.38589184721839603
2016-02-09,Republican,Ben Carson,6509,0.023318883674273636
2016-02-09,Republican,Carly Fiorina,11706,0.041937448500698596
2016-02-09,Republican,Chris Christie,21069,0.07548095869308208
2016-02-09,Republican,Donald Trump,100406,0.3597105291441264
2016-02-09,Republican,Jeb Bush,31310,0.11216995665102282
2016-02-09,Republican,John Kasich,44909,0.16088919141618602
2016-02-09,Republican,Marco Rubio,30032,0.1075914448464873
2016-02-09,Republican,Ted Cruz,33189,0.11890158707412317
2016-02-20,Democrat,Bernie Sanders,5641,0.4725642958867387
2016-02-20,Democrat,Hillary Clinton,6296,0.5274357041132612
2016-02-20,Republican,Ben Carson,53326,0.07226558000425522
2016-02-20,Republican,Donald Trump,239851,0.3250379107677422
2016-02-20,Republican,Jeb Bush,57863,0.07841396796658703
2016-02-20,Republican,John Kasich,56206,0.07616845797020533
2016-02-20,Republican,Marco Rubio,165881,0.22479628467700297
2016-02-20,Republican,Ted Cruz,164790,0.22331779861420728
2016-02-23,Republican,Ben Carson,3619,0.04833195331071877
2016-02-23,Republican,Donald Trump,34531,0.46116349261465317
2016-02-23,Republican,John Kasich,2709,0.03617885093084751
2016-02-23,Republican,Marco Rubio,17940,0.23958973263174765
2016-02-23,Republican,Ted Cruz,16079,0.21473597051203291
2016-02-27,Democrat,Bernie Sanders,95977,0.26116830072028974
2016-02-27,Democrat,Hillary Clinton,271514,0.7388316992797103
2016-03-01,Democrat,Bernie Sanders,2175561,0.38331256637966454
2016-03-01,Democrat,Hillary Clinton,3491971,0.6152511309650079
2016-03-01,Democrat,No Preference,8152,0.0014363026553275342
2016-03-01,Republican,Ben Carson,483706,0.058675524130783294
2016-03-01,Republican,Donald Trump,2921704,0.35441469312972357
2016-03-01,Republican,John Kasich,537123,0.06515522558682074
2016-03-01,Republican,Marco Rubio,1834939,0.2225856358470132
2016-03-01,Republican,Ted Cruz,2466272,0.2991689213056592
2016-03-05,Democrat,Bernie Sanders,117810,0.3215707040654223
2016-03-05,Democrat,Hillary Clinton,248548,0.6784292959345777
2016-03-05,Republican,Donald Trump,224373,0.3803654253010741
2016-03-05,Republican,John Kasich,60284,0.1021956710426386
2016-03-05,Republican,Marco Rubio,83572,0.14167435174134752
2016-03-05,Republican,Ted Cruz,221659,0.3757645519149398
2016-03-06,Democrat,Bernie Sanders,2201,0.6445095168374817
2016-03-06,Democrat,Hillary Clinton,1214,0.3554904831625183
2016-03-08,Democrat,Bernie Sanders,631570,0.4541016327152771
2016-03-08,Democrat,Hillary Clinton,759242,0.5458983672847229
2016-03-08,Republican,Donald Trump,743661,0.3949318405468688
2016-03-08,Republican,John Kasich,375402,0.19936261657526164
2016-03-08,Republican,Marco Rubio,181547,0.09641313831942565
2016-03-08,Republican,Ted Cruz,582401,0.3092924045584439
2016-03-15,Democrat,Bernie Sanders,2825198,0.43191983395871963
2016-03-15,Democrat,Hillary Clinton,3715826,0.5680801660412804
2016-03-15,Republican,Donald Trump,3196514,0.4154536379035546
2016-03-15,Republican,John Kasich,1632784,0.21221432244961777
2016-03-15,Republican,Marco Rubio,964001,0.1252920282509836
2016-03-15,Republican,Ted Cruz,1900734,0.24704001139584403
2016-03-22,Democrat,Bernie Sanders,243373,0.4869398020412124
2016-03-22,Democrat,Hillary Clinton,256428,0.5130601979587875
2016-03-22,Republican,Donald Trump,274780,0.448761813926674
2016-03-22,Republican,John Kasich,82813,0.1352475147270895
2016-03-22,Republican,Ted Cruz,254714,0.41599067134623646
2016-03-26,Democrat,Bernie Sanders,43130,0.7129396984924623
2016-03-26,Democrat,Hillary Clinton,17366,0.2870603015075377
2016-04-05,Democrat,Bernie Sanders,567936,0.5675370214739038
2016-04-05,Democrat,Hillary Clinton,432767,0.43246297852609616
2016-04-05,Republican,Donald Trump,386370,0.3601849167380598
2016-04-05,Republican,John Kasich,155200,0.14468177932486187
2016-04-05,Republican,Ted Cruz,531129,0.49513330393707833
2016-04-09,Democrat,Bernie Sanders,156,0.5571428571428572
2016-04-09,Democrat,Hillary Clinton,124,0.44285714285714284
2016-04-19,Democrat,Bernie Sanders,763469,0.4200534565173376
2016-04-19,Democrat,Hillary Clinton,1054083,0.5799465434826624
2016-04-19,Republican,Donald Trump,524932,0.6040734786596347
2016-04-19,Republican,John Kasich,217904,0.250756340428568
2016-04-19,Republican,Ted Cruz,126151,0.1451701809117973
2016-04-26,Democrat,Bernie Sanders,1257019,0.4207633006222985
2016-04-26,Democrat,Hillary Clinton,1730454,0.5792366993777015
2016-04-26,Republican,Donald Trump,1334223,0.5817534361972416
2016-04-26,Republican,John Kasich,494517,0.2156213496604026
2016-04-26,Republican,Ted Cruz,464711,0.20262521414235576
2016-05-03,Democrat,Bernie Sanders,335256,0.5249546691552961
2016-05-03,Democrat,Hillary Clinton,303382,0.4750453308447039
2016-05-03,Republican,Donald Trump,590460,0.5463918575157798
2016-05-03,Republican,John Kasich,83913,0.07765027256667958
2016-05-03,Republican,Ted Cruz,406280,0.3759578699175406
2016-05-10,Democrat,Bernie Sanders,123860,0.5892090916875184
2016-05-10,Democrat,Hillary Clinton,86354,0.41079090831248155
2016-05-10,Republican,Donald Trump,277532,0.7534075885864445
2016-05-10,Republican,John Kasich,36211,0.09830088851124823
2016-05-10,Republican,Ted Cruz,54626,0.1482915229023072
2016-05-17,Democrat,Bernie Sanders,531372,0.5336876708036169
2016-05-17,Democrat,Hillary Clinton,464289,0.4663123291963831
2016-05-17,Republican,Donald Trump,240804,0.6661429085175247
2016-05-17,Republican,John Kasich,59096,0.16347893441035713
2016-05-17,Republican,Ted Cruz,61590,0.17037815707211817
2016-05-24,Republican,Donald Trump,403003,0.7888856046087802
2016-05-24,Republican,John Kasich,52129,0.10204345298335522
2016-05-24,Republican,Ted Cruz,55719,0.10907094240786452
2016-06-07,Democrat,Bernie Sanders,2018537,0.4289150825325011
2016-06-07,Democrat,Hillary Clinton,2687609,0.5710849174674989
2016-06-07,Republican,Donald Trump,1763978,0.7872954635326799
2016-06-07,Republican,John Kasich,265277,0.11839794979277446
2016-06-07,Republican,Ted Cruz,211299,0.09430658667454567
