Year,France: top decile,France: top percentile,France: top promille,Paris: top percentile,United Kingdom: top decile,United Kingdom: top percentile,United Kingdom: top promille,United States: top decile,United States: top percentile,United States: top promille,Sweden: top decile,Sweden: top percentile,Sweden: top promille,Europe: top decile,Europe: top percentile,Europe: top promille
1810,0.79878781686867,0.455931513056249,0.171420713926589,0.53736799501868,0.829,0.549,,0.58,0.25,,0.839,0.559,,0.82226260562289,0.521310504352083,
1820,0.818442835829554,0.467150190087546,0.189787648553569,0.590124575407609,,,,,,,,,,,,
1830,0.832211034021238,0.47500879196032,0.171243107608053,0.519664295168763,,,,,,,,,,,,
1840,0.804144846931729,0.459551433617432,0.154873547780561,0.52554586164299,,,,,,,,,,,,
1850,0.82439427798708,0.502701695220301,0.193537558539407,0.585791131451427,,,,,,,,,,,,
1860,0.837101868012441,0.519953562384069,0.182991977931553,0.551135976893917,,,,,,,,,,,,
1870,0.81811647781711,0.503558269538767,0.18299868663009,0.556762917128136,0.871,0.611,,0.71,0.32,,0.87165,0.57265,0.29575,0.853588825939037,0.562402756512922,
1880,0.84641240257851,0.495072187792542,0.211438245812145,0.618715096837119,,,,,,,,,,,,
1890,0.847449379255033,0.511421989627386,0.20212120774149,0.581522913231003,,,,,,,,,,,,
1900,0.873418055032107,0.5866712575762,0.280829881439137,0.660716998855197,,,,,,,,,,,,
1910,0.884961330473844,0.604994519653366,0.289759111588971,0.707209045842004,0.92,0.69,,0.811297513690588,0.451297513690588,0.248246846606047,0.8815,0.611,0.29355,0.895487110157948,0.635331506551122,
1920,0.816562788933004,0.49234387142014,0.231069622391952,0.600327945643706,0.89,0.61,,0.797269016133692,0.437269016133692,0.229072417903374,0.8769,0.5379,,0.861154262977668,0.546747957140047,
1930,0.799586263520554,0.473513601030991,0.223648169020783,0.547632063184451,0.85,0.55,,0.734059634212632,0.374059634212632,0.200841836653661,0.8355,0.4277,,0.828362087840185,0.48373786701033,
1940,0.757792254497076,0.363026030320838,0.136766590749697,0.524115867200163,,,,0.66389486443707,0.30389486443707,0.135015974400452,0.8317,0.3769,0.177,,,
1950,0.727964700714564,0.334032558612811,0.120626149469615,0.388557260175306,0.76,0.472,,0.656655352372867,0.296655352372867,0.1227739179025,0.7729,0.3281,0.0965,0.753621566904855,0.37804418620427,
1960,0.699426258702717,0.318964076428364,0.114888560350737,0.352853954302219,0.715,0.339,,0.67,0.314,0.134395820002172,0.6323,0.2341,0.0817,0.682242086234239,0.297354692142788,
1970,0.62,0.22,0.07,0.255,0.641,0.226,,0.641820011373607,0.281820011373607,0.115141966007693,0.547,0.177,,0.602666666666667,0.207666666666667,
1980,0.618427634233915,0.220198834558972,0.067262818138752,0.25,0.626,0.227,,0.672,0.301,0.124081836204132,0.534,0.165,,0.592809211411305,0.204066278186324,
1990,0.609621593402686,0.217063334428035,0.064394038209146,0.241577568734339,0.64,0.24,,0.687,0.329,0.138988709763285,0.577,0.195,,0.608873864467562,0.217354444809345,
2000,0.621,0.235,0.069715131848609,0.261539927054752,0.685,0.27,,0.6965,0.3305,0.1440781580403,0.5781,0.2048,0.067,0.628033333333333,0.2366,0.067
2010,0.624,0.244,0.072385073068343,0.27155634979302,0.705,0.28,,0.715,0.338,0.1473477077689,0.5877,0.2071,,0.6389,0.2437,
