"","state","Bernie Sanders","Hillary Clinton"
"1","Alabama",76399,309928
"2","Alaska",440,99
"3","Arizona",163400,235697
"4","Arkansas",64868,144580
"5","California",1502043,1940580
"6","Colorado",71928,49256
"7","Connecticut",152410,170075
"8","Delaware",36659,55950
"9","Florida",566603,1097400
"10","Georgia",214332,543008
"11","Hawaii",23531,10127
"12","Idaho",18640,5065
"13","Illinois",975659,1012175
"14","Indiana",335256,303382
"15","Iowa",69452,69733
"16","Kansas",26450,12593
"17","Kentucky",210626,212550
"18","Louisiana",72240,221615
"19","Maine",2201,1214
"20","Maryland",281275,533247
"21","Massachusetts",586716,603784
"22","Michigan",595222,576795
"23","Mississippi",36348,182447
"24","Missouri",309071,310602
"25","Montana",63168,55194
"26","Nebraska",19120,14340
"27","Nevada",5641,6296
"28","New Hampshire",151584,95252
"29","New Jersey",323259,554237
"30","New Mexico",103856,110451
"31","New York",763469,1054083
"32","North Carolina",460316,616383
"33","North Dakota",253,101
"34","Ohio",513549,679266
"35","Oklahoma",174054,139338
"36","Oregon",320746,251739
"37","Pennsylvania",719955,918689
"38","Rhode Island",66720,52493
"39","South Carolina",95977,271514
"40","South Dakota",25958,27046
"41","Tennessee",120333,245304
"42","Texas",475561,935080
"43","Utah",61333,15666
"44","Vermont",115863,18335
"45","Virginia",275507,503358
"46","Washington",19159,7140
"47","West Virginia",123860,86354
"48","Wisconsin",567936,432767
"49","Wyoming",156,124
